     seq      time                                             scheduled_show                                  show                   episode                                       artist                                                   track
127  127   4:11 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                 Canal Irreal                                                I Failed
128  128   4:16 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   J. Robbins                                                Last War
129  129   4:17 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                         Noun                                                Consumed
130  130   4:21 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                        Hedge                                             No Monsters
131  131   4:24 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                              Feeling Figures                                         Reality Strikes
132  132   4:26 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                       Knowso                                     Drink From The Lake
133  133   4:32 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   Continuals                                               March 3rd
134  134   4:34 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                Suburban Eyes                                       Headlight Torches
135  135   4:36 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                 Miracle Debt                                      35th &amp; Abiding
136  136   4:41 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                Beige Banquet                                       Ornamental Hermit
137  137   4:43 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   Lupo Citta                                          White Bracelet
138  138   4:49 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                            E                                                    Null
139  139   4:51 PM                  POLICYMAKER RADIO HOUR with Mike Fournier  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS        Messthetics &amp; James Brandon Lewis                                           Three Sisters
140  140   5:00 PM                                                    WARBLER  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                    The Kinks                                           Days (Stereo)
141  141   5:01 PM                                                    WARBLER  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                         The Statler Brothers                                     Flowers On The Wall
142  142   5:03 PM                                                    WARBLER  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   M. Doughty                   From A Gas Station Outside Providence
143  143   5:05 PM                                                    WARBLER  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                Elvis Presley                                               Blue Moon
144  144   5:06 PM                                                    WARBLER  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                  Ray Charles                                       You Don't Know Me
145  145   5:09 PM                                                    WARBLER  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                    The Shins                                            Phantom Limb
146  146   5:12 PM                                                    WARBLER  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                               Band Of Horses                                             The Funeral
147  147   5:17 PM                                                    WARBLER  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                           U2                                       All I Want Is You
148  148   5:27 PM                                                    WARBLER  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                Elvis Presley                             Summer Kisses, Winter Tears
149  149   5:32 PM                                                    WARBLER  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                    Miss Grit                                                Like You
